"subject_id","value.fit_glaze_osc_zeta_v4","value.fit_glaze_osc_zeta_v4_one_amp","value.fit_glaze_osc_zeta_v4_LLR_amp","value.fit_glaze_osc_zeta_v4_Prior_amp","value.fit_glaze_osc_zeta_v4_no_amp","value.fit_glaze_osc_zeta_v4_no_integration"
5914,121.208633870928,129.743072471977,121.300814812431,118.940485511189,138.446458266787,124.708616901182
5915,NA,115.222475581802,115.366576812155,114.627342512121,NA,116.413706028717
5916,121.947579615871,121.937342530639,123.140665151923,NA,124.708526574704,124.708616901182
5917,NA,119.148957628114,117.765421627984,116.465973561611,120.673415512654,121.782185997801
5918,NA,120.732746920218,126.839390676197,120.45784647651,127.562469299807,123.757047670345
5919,125.399191093711,127.427303749498,127.291580988614,125.423820587327,127.762819491849,128.281503431529
5920,NA,119.510634084723,119.434744375276,119.556798324774,120.344922235919,120.758363140404
5921,NA,118.119746669273,118.476747578739,117.769534692173,119.350095218622,120.758363140404
5922,117.8868484592,117.891330208074,140.800888532237,117.837667836263,141.652735813854,118.636518592727
5923,119.670247014429,121.06480510775,119.671616679661,120.94139501637,121.998184065231,124.708616901182
5924,129.051734574167,NA,139.540576510122,130.438644258006,140.789001991482,125.636613602908
5925,118.666339501226,118.653427574018,121.61891647479,120.222063039838,121.620389074436,121.782185997801
5926,121.502567186918,121.851873630301,121.507498418518,122.518782458738,124.073652955512,124.708616901182
5927,117.336351505056,117.478272657458,117.336405575613,117.171098545856,119.534469143293,120.758363140404
5928,116.314651981143,116.710236328364,116.461061200354,116.475276941775,117.055525810832,118.636518592727
5929,NA,128.62819936128,128.55939292601,117.137478533136,132.371787392772,120.758363140404
5930,116.291644306559,117.34643349601,120.457202107794,120.540248552043,127.683131658239,124.708616901182
5931,NA,124.557907668407,119.345641519137,124.645588299595,125.361643659773,125.636613602908
5932,120.297485493834,120.289746654094,117.362085221805,118.786887442355,119.429140155726,119.709905805275
5933,NA,128.735404777064,128.628774836603,128.735410193369,128.700382859594,NA
5934,116.501884064167,117.01674771185,116.700146577931,116.900855448882,118.670777482553,119.709905805275
5935,NA,121.933325792098,119.729114918785,NA,123.389568314335,126.541276150226
5936,119.654572878906,119.705738183549,119.654572624789,NA,120.8683141096,121.782185997801
5937,119.720189200591,126.381292496685,124.663931199274,119.626149257676,124.705859936047,124.708616901182
5938,NA,115.564324337482,117.01303188854,116.775443916755,117.510970427392,117.537892866179
5939,121.350505133278,121.228949620104,119.27079113049,NA,122.273582660447,NA
5940,124.290185657885,124.381460163151,125.422412933244,123.250340232351,125.422401633287,125.636613602908
5941,123.030283744331,123.121596121484,124.154228120048,123.786917616948,124.539725308151,124.708616901182
5942,NA,121.683926399017,123.460999445091,NA,123.64002080757,123.757047670345
5943,127.36803012477,127.990502489982,127.593231312208,127.087318417446,141.753625932696,NA
5944,NA,125.199406618437,125.174475955031,125.140339148761,125.509337323936,125.636613602908
5945,123.930993766613,123.968878573516,137.481461362718,126.992873951412,141.384557523115,128.281503431529
5946,NA,122.234135840357,122.397943577728,124.855683977321,125.337582459624,127.422833060786
5947,NA,123.382925807742,123.233983086597,120.89294392263,124.317156241392,125.636613602908
5948,121.019669688712,121.01635241517,121.869603629539,121.228896347305,122.352593781272,122.781657211057
5949,129.192407039573,131.252550288792,137.869777595206,NA,138.968248145742,NA
5950,118.710243592526,118.617584835233,118.967429117906,121.686902519025,123.135853045379,124.708616901182
5951,NA,118.814830988906,118.740354000602,115.428968104281,119.348587374087,119.709905805275
5952,114.82299463604,115.525245346515,114.822888089574,128.643145546022,136.243409639036,118.636518592727
5953,115.191841249358,115.310588503575,118.317391962913,116.651638177441,118.317381878732,118.636518592727
5954,122.239764810808,NA,124.143099123086,124.272307002307,125.549271382191,125.636613602908
5955,NA,120.106383535769,120.424995721653,118.505739006673,139.261229824568,121.782185997801
5956,119.983063944365,121.232879011522,121.337509701254,120.646527138867,121.65827669655,122.781657211057
5957,111.178335573533,113.636473356925,NA,118.634268821747,121.639046194852,122.781657211057
5958,120.946179532412,118.533089908237,121.503914292061,121.420108195574,122.596375550604,122.781657211057
5959,NA,117.441029930345,117.394495452825,116.144373048641,117.519806063604,117.537892866179
5960,NA,125.335570728285,NA,126.19621259282,133.2336780322,124.708616901182
5961,118.565212269279,118.592524777674,118.844576478126,120.19813469142,121.753289953637,122.781657211057
5962,120.387173464069,120.669021047479,120.030131591295,119.796460841044,121.148123159058,121.782185997801
5963,NA,112.169244774003,114.245783572401,113.404721199754,114.245775187499,115.263620741855
5964,114.839021251552,116.923384015215,114.575632736817,113.905051609177,117.506253030357,117.537892866179
5965,116.858489128434,NA,119.78214010442,118.762297860089,120.494426982926,120.758363140404
5966,NA,112.768216662567,NA,113.058112322616,113.864579256519,115.263620741855
5967,117.906145406306,118.344385133263,117.90620668735,NA,120.651330377195,120.758363140404
5968,NA,120.898382271224,137.602494702181,120.659967989655,138.113807023792,121.782185997801
5969,126.039007756934,126.591501708677,125.180491815406,123.755508826919,126.6830447663,127.422833060786
5970,NA,123.961914114444,124.421568287708,NA,124.790811150763,128.281503431529
5971,118.026814580912,120.73570730384,125.281595880215,120.304785243887,125.50804248549,122.781657211057
5972,113.696285634659,112.814501845615,114.406069759209,113.612688447753,114.881531471861,116.413706028717
5973,110.727977082283,115.790313121692,124.033015055581,119.530843107777,127.532894377719,119.709905805275
5974,NA,125.338006229026,124.913219753543,124.50739204014,125.337704319323,125.636613602908
5975,115.42371390606,115.506666875979,114.058175189804,NA,116.219128149098,117.537892866179
5976,NA,118.456171788481,NA,118.51356422351,119.237151778503,119.709905805275
5977,122.485813623733,121.898993327068,117.447144174164,NA,120.184185381995,122.781657211057
5978,115.113178465023,115.856205753551,117.01375161388,115.452065321677,117.013728422232,117.537892866179
5979,119.991489686537,121.623192445443,121.876518561639,119.780930287608,121.9995363599,122.781657211057
5980,126.542909323119,128.184446127499,128.616522310748,128.985767563071,129.41815289377,132.238615319314
5981,118.92895089571,118.912826637379,119.269770915561,NA,120.749267706905,120.758363140404
5982,121.722372508009,121.765153341105,NA,124.171888021274,124.492908849186,124.708616901182
5983,118.771247401723,119.162103321305,141.988236814697,119.637214892677,144.831002535343,120.758363140404
5984,NA,116.589715435495,115.933523357819,117.042127062145,117.532402558191,117.537892866179
5985,122.03689385588,124.172049462898,124.144117365663,122.906091131107,124.407467422299,126.541276150226
5986,119.804717118366,120.165899092465,133.835446843571,119.832499779715,137.611183805196,122.781657211057
5987,NA,118.587096716283,118.892838250744,117.390026124275,119.320367210202,119.709905805275
5988,NA,122.117102263258,121.239755234351,NA,122.744351712333,122.781657211057
5989,NA,124.026686920222,124.319632568346,121.438804494237,124.97459270174,125.636613602908
5990,NA,117.137365664296,114.508823296358,116.052260980021,117.512086653411,117.537892866179
5991,127.243198118596,127.242129705386,127.249860032531,129.885044434372,129.876317801583,129.931016256469
5992,115.545578399083,117.166613324361,118.37217746852,114.509185110219,122.844729478893,123.757047670345
5993,118.353450766147,118.345754261256,118.40251027452,120.913475030138,121.73673761916,121.782185997801
5994,112.179906578464,116.150750598135,118.557835684499,NA,120.168046009215,121.782185997801
5995,123.646878625222,124.004479746524,123.64690371346,123.728374208715,125.224980782853,125.636613602908
5996,111.633176598347,111.631471479535,111.628352093758,113.158502909688,114.018318852131,114.087284080755
5997,115.894309345677,116.07460030985,117.258105214297,124.681791719613,132.599060953144,117.537892866179
5998,115.926335519848,119.530127446988,118.799644826192,116.278133727251,120.766747881942,122.781657211057
