"","p1","p2","p3","p4","p5","p6","p7","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
"L-BFGS-B1830",0.424869186715686,10.171501814211,0.538238027852619,1.53581680972895,0.148698289981378,4.6256561177839,0.99924570083086,273.816408099713,99,99,NA,0,FALSE,FALSE,36.8600000000151,176,55,556,7,"fit_glaze_osc_zeta_v4_mouse",561.632816199427,561.837195761471
"L-BFGS-B1831",0.4173655189091,6.1361364116168,0.994644699551039,0.968030834084954,0.0867433890605604,3.12461891628563,0.999,372.738606340438,43,43,NA,0,FALSE,FALSE,20.7200000000012,176,56,710,7,"fit_glaze_osc_zeta_v4_mouse",759.477212680875,759.636756840419
"L-BFGS-B1832",0.566540417999634,9.866795452085,0.890938048827957,1.08575347317012,0.128295399985509,5.87294895343241,1.001,309.516036415581,181,181,NA,1,FALSE,FALSE,79.2099999999919,176,57,649,7,"fit_glaze_osc_zeta_v4_mouse",633.032072831161,633.206799820241
"L-BFGS-B1833",0.460617455988216,9.65260982227859,0.986334372063759,1.69976995876869,0.0703890291793447,1.87680477802964,1.00045458953247,375.000152936288,117,117,NA,0,FALSE,FALSE,58.6600000000035,176,58,733,7,"fit_glaze_osc_zeta_v4_mouse",764.000305872576,764.154788631197
"L-BFGS-B1834",0.463535928063715,8.00094288353845,1.04699608435215,1.47700944242968,0.0475355776599092,3.07480338841432,1.00099975755155,322.628343579387,87,87,NA,52,FALSE,FALSE,36.6900000000023,176,59,623,7,"fit_glaze_osc_zeta_v4_mouse",659.256687158774,659.438800979912
"L-BFGS-B1835",0.614658719160375,8.96843695404355,1.02057125383639,0.336188274138559,0.2,4.30236839960763,1.001,301.783276564328,107,107,NA,1,FALSE,TRUE,49.9700000000012,176,61,686,7,"fit_glaze_osc_zeta_v4_mouse",617.566553128655,617.731744869068
"L-BFGS-B1836",0.564693188933825,2.45121590039563,1.51738106383429,0.328915735639842,0.0443480839279717,3.26770325543686,0.999,392.538437399341,106,106,NA,0,FALSE,FALSE,60.4900000000198,177,21,834,7,"fit_glaze_osc_zeta_v4_mouse",799.076874798682,799.212468019021
"L-BFGS-B1837",0.511010239608058,2.53661204295931,1.02022884543187,0.568550529132045,0.071776903911134,3.17015294579907,1.001,386.284723861446,52,52,NA,0,FALSE,FALSE,25.1600000000035,177,22,712,7,"fit_glaze_osc_zeta_v4_mouse",786.569447722892,786.728538631983
"L-BFGS-B1838",0.545232963413262,5.47824873956801,1.11282939571849,0.89601458608499,0.0743658017120688,0.94068832241385,1.001,325.541637160027,128,128,NA,0,FALSE,FALSE,64.9400000000023,177,24,743,7,"fit_glaze_osc_zeta_v4_mouse",665.083274320054,665.235655272435
"L-BFGS-B1839",0.607586460922838,2.79683654905907,1.45828112877905,0.361906988954219,0.0331119055295612,2.46138197297667,1.00094374021609,443.22036869136,68,68,NA,0,FALSE,FALSE,34.2099999999919,177,25,738,7,"fit_glaze_osc_zeta_v4_mouse",900.44073738272,900.594162040254
"L-BFGS-B1840",0.754118270967584,2.47815207287615,2.19349220103191,0.76439957735205,0.025,2.44453218783833,0.999,310.946089236059,109,109,NA,1,FALSE,TRUE,36.570000000007,177,26,501,7,"fit_glaze_osc_zeta_v4_mouse",635.892178472118,636.119358999502
"L-BFGS-B1841",0.437671156263176,2.80980423422634,1.06829238892992,0,0.0676359421327402,3.22174237371808,0.999080912981229,249.457259111755,51,51,NA,0,FALSE,FALSE,14.5800000000163,177,27,436,7,"fit_glaze_osc_zeta_v4_mouse",512.914518223509,513.1762004665
"L-BFGS-B1842",0.701735385805692,3.71711233711348,1.24625892611579,0.478774852584287,0.025,3.27563045709521,1.001,294.886020765592,70,70,NA,0,FALSE,TRUE,24.8399999999965,177,28,530,7,"fit_glaze_osc_zeta_v4_mouse",603.772041531184,603.986600918157
"L-BFGS-B1843",0.46461272143576,4.90899693250946,0,1.06022420235079,0.025,2.85233478994989,0.999,447.571939130033,106,106,NA,0,FALSE,TRUE,58.5299999999988,177,29,800,7,"fit_glaze_osc_zeta_v4_mouse",909.143878260067,909.285292401481
"L-BFGS-B1844",0.417894592599749,6.17132918099038,0.721932065552611,1.06974662203426,0.0817795677040019,5.45483171585019,0.999289341306202,350.628401656476,106,106,NA,0,FALSE,FALSE,48.9899999999907,177,30,667,7,"fit_glaze_osc_zeta_v4_mouse",715.256803312952,715.426757789431
"L-BFGS-B1845",0.50435066368069,5.86411873386177,0.99527977605155,0.621154526859024,0.0759832552762958,2.46777161872611,1.00083190305072,347.794402577755,91,91,NA,0,FALSE,FALSE,40.4700000000012,177,31,653,7,"fit_glaze_osc_zeta_v4_mouse",709.588805155511,709.762448566363
"L-BFGS-B1846",0.395676824406843,6.84631136489156,1.07297173619073,0.874103864607893,0.0577879055323104,4.18073283333814,1.00099609356753,420.785897984328,118,118,NA,1,FALSE,FALSE,64.5100000000093,177,32,802,7,"fit_glaze_osc_zeta_v4_mouse",855.571795968656,855.712853903165
"L-BFGS-B1847",0.49886831918244,3.16736994313066,1.02059368635891,0.312929895293031,0.0390183617383835,3.41965379516672,0.999,479.619942499491,70,70,NA,0,FALSE,FALSE,40.3800000000047,177,33,841,7,"fit_glaze_osc_zeta_v4_mouse",973.239884998982,973.374338780494
"L-BFGS-B1848",0.376943299811834,3.44361415235494,1.06422950073761,0.4794132105932,0.2,3.69940827603992,1.001,472.094253362363,106,106,NA,1,FALSE,TRUE,59.1800000000221,177,34,819,7,"fit_glaze_osc_zeta_v4_mouse",958.188506724725,958.326607834466
"L-BFGS-B1849",0.385652904779497,5.55758649415227,0.473550236508311,0.857083674179431,0.0458792080723449,1.78739778521634,0.999638751188077,450.318541191899,121,121,NA,0,FALSE,FALSE,69.5899999999965,177,35,836,7,"fit_glaze_osc_zeta_v4_mouse",914.637082383798,914.772348084281
"L-BFGS-B1850",0.539550143100758,2.7578597335334,1.04147158921953,0.293663673348935,0.025,3.36821590514558,1.001,407.494251541017,61,61,NA,0,FALSE,FALSE,28.25,177,36,690,7,"fit_glaze_osc_zeta_v4_mouse",828.988503082034,829.152725955934
"L-BFGS-B1851",0.541011618981019,3.59416312412455,1.10413679690169,0,0.0565114883144,3.18956781322301,1.001,450.892117554316,86,86,NA,0,FALSE,FALSE,48.2699999999895,177,37,818,7,"fit_glaze_osc_zeta_v4_mouse",915.784235108632,915.92250671357
"L-BFGS-B1852",0.518117859660139,4.27453199914829,1.02858760334054,0.758671828309771,0.0645175821150147,3.56241812609332,1.001,505.987664240287,94,94,NA,0,FALSE,FALSE,59.5299999999988,177,38,926,7,"fit_glaze_osc_zeta_v4_mouse",1025.97532848057,1026.09733283787
"L-BFGS-B1853",0.450708502291534,3.07706077180668,1.02108604080946,0.455280623328125,0.2,4.58422025573939,0.999,655.312951737194,104,104,NA,1,FALSE,FALSE,81.3500000000058,177,39,1126,7,"fit_glaze_osc_zeta_v4_mouse",1324.62590347439,1324.72608236527
"L-BFGS-B1854",0.63809890747992,2.46172415054567,3.2274006918654,0,0.036290481454619,1.77506222313837,1.00098409215799,446.724097683427,177,177,NA,52,FALSE,FALSE,93.3800000000047,177,40,776,7,"fit_glaze_osc_zeta_v4_mouse",907.448195366854,907.594028700188
"L-BFGS-B1855",0.47774500790401,5.11332598023221,1.02687121287925,0.648970151591246,0.178658194659776,3.05421878119501,0.999093826798287,474.279554277512,89,89,NA,0,FALSE,FALSE,54.1999999999825,177,41,883,7,"fit_glaze_osc_zeta_v4_mouse",962.559108555023,962.687108555023
"L-BFGS-B1856",0.540464825114364,4.48056474989796,1.35400780463863,0.494419632318052,0.123020744858207,4.17568259757691,1.001,409.579271418602,123,123,NA,0,FALSE,FALSE,63.5299999999988,177,42,760,7,"fit_glaze_osc_zeta_v4_mouse",833.158542837204,833.307479007417
"L-BFGS-B1857",0.3916037322366,4.64335939575427,1.01330752552607,0.762389919488221,0.0658317527277962,2.65111785726692,0.999190381754649,561.282487697637,64,64,NA,0,FALSE,FALSE,45.4199999999837,177,43,1024,7,"fit_glaze_osc_zeta_v4_mouse",1136.56497539527,1136.67521161575
"L-BFGS-B1858",0.453461286300078,4.84856269529605,1.02092586710745,0.828436441923267,0.122075324763963,3.0700742758632,0.999,575.843339093979,75,75,NA,0,FALSE,FALSE,53.5899999999965,177,44,1033,7,"fit_glaze_osc_zeta_v4_mouse",1165.68667818796,1165.79594648064
"L-BFGS-B1859",0.475303896825677,5.119604123943,0.984130799972114,0.510997146947579,0.0954643357998193,2.98847720392682,1.00097356279115,355.887727831905,96,96,NA,0,FALSE,FALSE,43.8800000000047,177,45,671,7,"fit_glaze_osc_zeta_v4_mouse",725.775455663811,725.944384773916
"L-BFGS-B1860",0.01,11.4167248974149,4.34414952994961,2.32397509681902,0.162949743637224,4.63388063194479,1.001,18.3268075563432,117,117,NA,1,FALSE,FALSE,4.07999999998719,177,46,49,7,"fit_glaze_osc_zeta_v4_mouse",50.6536151126863,53.3853224297595
"L-BFGS-B1861",0.641468549738272,4.0220666559798,6.98421368199951,0,0.0359266831948516,2.74892722779575,1.001,301.155581437733,77,77,NA,0,FALSE,FALSE,29.4799999999814,177,47,570,7,"fit_glaze_osc_zeta_v4_mouse",616.311162875466,616.510451131694
